Country Name,Time,Value
Norway,2010,4889252
Norway,2011,4953088
Norway,2012,5018573
Norway,2013,5079623
Norway,2014,5137232
Norway,2015,5188607
Norway,2016,5234519
Norway,2017,5276968
Norway,2018,5311916
Norway,2019,5347896
Canada,2010,34005902
Canada,2011,34339221
Canada,2012,34713395
Canada,2013,35080992
Canada,2014,35434066
Canada,2015,35704498
Canada,2016,36110803
Canada,2017,36545075
Canada,2018,37072620
Canada,2019,37618495
Singapore,2010,5076732
Singapore,2011,5183688
Singapore,2012,5312437
Singapore,2013,5399162
Singapore,2014,5469724
Singapore,2015,5535002
Singapore,2016,5607283
Singapore,2017,5612253
Singapore,2018,5638676
Singapore,2019,5703569
Kenya,2010,41598567
Kenya,2011,42758461
Kenya,2012,43888303
Kenya,2013,44986791
Kenya,2014,46051440
Kenya,2015,47088526
Kenya,2016,48139687
Kenya,2017,49197766
Kenya,2018,50207107
Kenya,2019,51202827
Finland,2010,5363352
Finland,2011,5388272
Finland,2012,5413971
Finland,2013,5438972
Finland,2014,5461512
Finland,2015,5479531
Finland,2016,5495303
Finland,2017,5508214
Finland,2018,5515525
Finland,2019,5521606
Italy,2010,59277417
Italy,2011,59379449
Italy,2012,59539717
Italy,2013,60233948
Italy,2014,60789140
Italy,2015,60730582
Italy,2016,60627498
Italy,2017,60536709
Italy,2018,60421760
Italy,2019,59729081
